user_id,transport,recycle,plastic,meat,task,score
1,Public Transport,No,No,Daily,Reduce electricity usage,70
2,Walk/Cycle,No,Yes,Daily,Avoid single-use plastic,50
3,Walk/Cycle,Yes,Yes,Few times,Unplug unused chargers,80
4,Walk/Cycle,No,No,Daily,Plant or water a plant,70
5,Car,Yes,Yes,Rarely,Use cloth bags while shopping,50
6,Walk/Cycle,Yes,Yes,Daily,Avoid single-use plastic,70
7,Walk/Cycle,No,Yes,Daily,Plant or water a plant,50
8,Walk/Cycle,No,No,Rarely,Use cloth bags while shopping,80
9,Public Transport,Yes,No,Daily,Try vegetarian meal,90
10,Walk/Cycle,Yes,Yes,Rarely,Reduce shower time by 2 minutes,80
11,Public Transport,No,Yes,No,Walk instead of driving for short distances,60
12,Walk/Cycle,Yes,Yes,Rarely,Avoid single-use plastic,80
13,Public Transport,No,No,No,Use cloth bags while shopping,80
14,Public Transport,Yes,Yes,Rarely,Use public transport today,80
15,Walk/Cycle,No,No,Few times,Use public transport today,80
16,Public Transport,Yes,Yes,Daily,Plant or water a plant,70
17,Car,Yes,Yes,Daily,Reduce electricity usage,40
18,Walk/Cycle,No,Yes,Rarely,Unplug unused chargers,60
19,Walk/Cycle,No,No,No,Use public transport today,80
20,Walk/Cycle,Yes,No,Few times,Try vegetarian meal,100
21,Walk/Cycle,Yes,No,Rarely,Avoid single-use plastic,100
22,Public Transport,Yes,No,Daily,Plant or water a plant,90
23,Walk/Cycle,Yes,No,Rarely,Plant or water a plant,100
24,Public Transport,No,No,Rarely,Walk instead of driving for short distances,80
25,Walk/Cycle,Yes,Yes,Daily,Use public transport today,70
26,Walk/Cycle,No,Yes,No,Try vegetarian meal,60
27,Car,No,No,No,Walk instead of driving for short distances,50
28,Car,Yes,No,Rarely,Unplug unused chargers,70
29,Public Transport,Yes,Yes,Daily,Plant or water a plant,70
30,Car,No,No,No,Use cloth bags while shopping,50
31,Walk/Cycle,No,Yes,No,Try vegetarian meal,60
32,Walk/Cycle,Yes,Yes,No,Try vegetarian meal,80
33,Walk/Cycle,Yes,No,Few times,Use public transport today,100
34,Walk/Cycle,Yes,No,No,Unplug unused chargers,100
35,Public Transport,No,No,Daily,Carry reusable water bottle,70
36,Car,Yes,Yes,No,Walk instead of driving for short distances,50
37,Walk/Cycle,No,Yes,Rarely,Use cloth bags while shopping,60
38,Walk/Cycle,Yes,No,No,Avoid single-use plastic,100
39,Car,Yes,No,Rarely,Plant or water a plant,70
40,Walk/Cycle,Yes,No,Few times,Use cloth bags while shopping,100
41,Car,No,No,Daily,Unplug unused chargers,40
42,Public Transport,Yes,No,Daily,Avoid single-use plastic,90
43,Public Transport,No,Yes,Rarely,Use cloth bags while shopping,60
